,comment_author,star_rating,comment_date,comment_title,comment
3094,peter s.,5.0 out of 5 stars,"Reviewed in the United States on June 18, 2019",Yummmm,  So yummy and addicting... fast shipping too. Buy it here
3095,LIU YI,4.0 out of 5 stars,"Reviewed in the United States on December 12, 2018",OK,  I had to say it is not exact taste as i tried in Singapore
3096,sheila melencio,3.0 out of 5 stars,"Reviewed in the United States on November 29, 2018",tasty,  tasty...
3097,Aliza Jose,5.0 out of 5 stars,"Reviewed in the United States on April 11, 2019","Warning, addictive!","  I love the flavor, it was really addictive!"
3098,Regina Go,5.0 out of 5 stars,"Reviewed in the United States on February 28, 2019",Super addicting!!!,  So good!!!
3099,Vy Tran,5.0 out of 5 stars,"Reviewed in the United States on January 3, 2019",You might just eat the whole bag in one sitting,  These things are delicious.  They are addicting.
3100,leix,5.0 out of 5 stars,"Reviewed in the United States on February 2, 2019",lowest price here,  Not first time of buying this，love this taste，fast shipping，good！
3101,fely orteza,5.0 out of 5 stars,"Reviewed in the United States on November 16, 2018",One of my favorite.,  One of the best. Will buy more.
3102,Amazon Customer,5.0 out of 5 stars,"Reviewed in the United States on June 16, 2019",:  ),  :  )
3103,Nicholas L. Divita,4.0 out of 5 stars,"Reviewed in the United States on January 28, 2019",Very good but quite expensive for the quantity,"  There is nothing quite like these snacks.  However, the quantity is not great for the amount you pay.  They really are delicious and unique.  You will like them but they take forever to arrive and they just cost too much.  Some day maybe you will be able to get them at your local grocery store.  I cannot understand why these would not be available domestically.  Perhaps they are and I am just missing out."
3104,Patty,2.0 out of 5 stars,"Reviewed in the United States on January 24, 2019",Oily is the second ingredient. Not worth the hype.,  Oil is the second ingredient. They try to put milk powder and dry egg to absorb it and make the snack look dry but once you try it you can feel how much oil you eat. It is also too sweet to me. I would have hope it would be saltier. The price is too high either. For 100g it only contain around 35% of the bag capacity.
3105,Amazon Customer,5.0 out of 5 stars,"Reviewed in the United States on August 13, 2018",Addictive,  It is so addictive. Too expensive though.
3106,Landon F.,5.0 out of 5 stars,"Reviewed in the United States on February 27, 2018",Five Stars,  good
3107,Ami,5.0 out of 5 stars,"Reviewed in the United States on May 23, 2019",Great product,  My husband loved it~~~~
3108,Hannah Byrom,5.0 out of 5 stars,"Reviewed in the United States on March 3, 2020",just like in Japan,"  Just as delicious as I remember from a trip to Tokyo a few years ago. Delicious, fresh and arrived very quickly. Wish it was a little less expensive, but will likely order again!"
3109,Kindle Customer,5.0 out of 5 stars,"Reviewed in the United States on July 10, 2020",Yummy,  Arrived freash and whole.  Great taste.
3110,Don pattershall,3.0 out of 5 stars,"Reviewed in the United States on February 14, 2020",Save you’re money.,  Not that hot.
3111,SO Cuteð   ð  ±ð  »ð  ½ð  ©ð  ¿ð   ð  °ð   ,1.0 out of 5 stars,"Reviewed in the United States on June 15, 2020",Dissatisfied,"  Did not taste like honey or butter tasted like a plain lays salted chip , Very Disappointing"
3112,Unsatisfied customer ,1.0 out of 5 stars,"Reviewed in the United States on October 19, 2019",Disappointed,  I don’t think there is value for money on this package. For two items it cost me almost $17.00 per piece wherein I can get at Costco at $9.99 a piece. I just felt that Amazon overcharge first this item. Very disappointed.
3113,Monica,1.0 out of 5 stars,"Reviewed in the United States on January 27, 2020",We only received one bag of product and paid for 2 Pack,  We love this product but when ordering the 2 Pack - we only received one package of Seaweed Bugal Chips.  This was totally disappointing.  We paid $36 for 1 bag.  We can buy 1 bag at Costco for $9.99.
3114,Sandy,1.0 out of 5 stars,"Reviewed in the United States on January 30, 2020",Deceptive Advertising!,  I just received one bag when item is advertised as a two pack for 35$. Apparently I am not the only person to whom this has happened. This is deceptive advertising! Caveat Emptor!
3115,Amazon Customer,1.0 out of 5 stars,"Reviewed in the United States on January 21, 2020",Rip off,  Packages arrived 2 days late and only had one pack. On the website this is listed as a 2 pack and has the price of a 2 pack. $35 for one pack of seaweed is ridiculous
3116,Amazon Customer,4.0 out of 5 stars,"Reviewed in the United States on August 13, 2018","More expensive, half the price at Costco",  Tastes great
3117,Miriam Choi,3.0 out of 5 stars,"Reviewed in the United States on October 16, 2018",Not as expected,  A bit stale
3118,Sarah S Kim,1.0 out of 5 stars,"Reviewed in the United States on January 28, 2020",Misplaced item,  I just received only one bag. I suppose to receive 2 packs of family size. So dissatisfied and disappointed.
3119,v.g,5.0 out of 5 stars,"Reviewed in the United States on November 20, 2019",Seaweed snack Favorie,  I love this product. It has become my favorite snack. Salty and a little sweet.
3120,June,5.0 out of 5 stars,"Reviewed in the United States on January 25, 2019",Yummy,  Yummy but very expensive.
3121,Yue yin,5.0 out of 5 stars,"Reviewed in the United States on July 17, 2020",yummy,  yummy
3122,Bik So,4.0 out of 5 stars,"Reviewed in the United States on December 7, 2019",the price is a little higher,  gift and self use
3123,Yvonne,5.0 out of 5 stars,"Reviewed in the United States on August 3, 2018",Good low carb snack,  My husband eats this weird snack and loves it! He’s on a low carb diet and loves the crunch
3124,SAJ,5.0 out of 5 stars,"Reviewed in the United States on August 10, 2020",Marketing suggestion,"  It is excellent.  Looooove it.Recommend redoing the package cover.  Instead of old korean way if serving suggestiin, recommend eating with nice white wine since it is awesome with chilled chardonnay.  Shoot new pic!  And stress that it has iodine which is needed by thyroid gland.  Avoids goiters.  Freah crunch snack, tastier with wine (white, not too sweet type) and it is even good for you.Think of American customers. Not just Asian."
3125,calimomma,3.0 out of 5 stars,"Reviewed in the United States on July 25, 2020",Good but buy it at costco.,  I just saw this here bc I was curious if Amazon sold it. but I did not buy from the seller because I saw these for $8.99 a bag at Costco. They’re Excellent they taste great but don’t buy it here. this is a rip off it looks like. Get it at Costco!
3126,Stefan H,1.0 out of 5 stars,"Reviewed in the United States on March 7, 2020","Not good, too sweet, sugary seaweed",  Soooo sweet. Do not appreciate the sugar poured all over the chips. Visible crystals of sugar. So disappointed...
3127,Morgan Chase,5.0 out of 5 stars,"Reviewed in the United States on February 7, 2020",Great as treats,"  I bought these as a treat for my sugar gliders. They LOVE them!! The purchase comes with quite a bit, more than my gliders can eat anytime soon.  So they have some spoiled friends too!"
3128,Bri,1.0 out of 5 stars,"Reviewed in the United States on November 16, 2019",Expired months ago,  The product expired in August. It's November.
3129,"RJ, mpls.Mn.",5.0 out of 5 stars,"Reviewed in the United States on June 14, 2020",Treats for my Sugar Gliders!,  My sugar gliders go crazy for the fish stick snacks. If I ever ran out...they would be absolutely furious with me! ;)
3130,Brianna Rud,5.0 out of 5 stars,"Reviewed in the United States on June 11, 2020",Sugar gliders favorite,  My sugar gliders go crazy for this treat.
3131,Dawn Drnek,5.0 out of 5 stars,"Reviewed in the United States on June 5, 2020",Yummy,  My sugar gliders love them
3132,Jo J.,5.0 out of 5 stars,"Reviewed in the United States on April 30, 2020",Sugar glider favorite,  Product arrived promptly and is a favorite treat for my sugar gliders.
3133,Mtmelissa,5.0 out of 5 stars,"Reviewed in the United States on May 9, 2020",My sugar gliders love them!!!,  These are wonderful. I get them as snacks  for my 7 sugar gliders. They eat them like they are “crack”  Always come quickly when I order. Great!
3134,Robin Haugen,5.0 out of 5 stars,"Reviewed in the United States on April 18, 2020",Sugar gliders love them,  Sugar gliders love them!
3135,Jessica Ryan,5.0 out of 5 stars,"Reviewed in the United States on April 22, 2020",Loved by Sugar Gliders!,  My sugar gliders absolutely love these as treats! They will jump to get them!
3136,Kanoi,5.0 out of 5 stars,"Reviewed in the United States on May 25, 2020",Suggie snacks,  My sugar gliders love it
3137,Hyun,1.0 out of 5 stars,"Reviewed in the United States on June 18, 2020",Make sure you check the volume,  ...a bite to eat....
